,report_date,country,pos_cases_tot,pos_cases_new,death_tot,death_new,pos_per_hunThou,new_cases,delta_new_cases,d_new_cases_pop
320,2020-01-14,namibia,0,0,0,0,0.0,0.0,0.0,0.0
321,2020-01-14,niger,0,0,0,0,0.0,0.0,0.0,0.0
322,2020-01-14,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
323,2020-01-14,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
324,2020-01-14,senegal,0,0,0,0,0.0,0.0,0.0,0.0
325,2020-01-14,south africa,0,0,0,0,0.0,0.0,0.0,0.0
326,2020-01-14,togo,0,0,0,0,0.0,0.0,0.0,0.0
327,2020-01-14,uganda,0,0,0,0,0.0,0.0,0.0,0.0
328,2020-01-14,zambia,0,0,0,0,0.0,0.0,0.0,0.0
329,2020-01-14,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
330,2020-01-15,angola,0,0,0,0,0.0,0.0,0.0,0.0
331,2020-01-15,benin,0,0,0,0,0.0,0.0,0.0,0.0
332,2020-01-15,botswana,0,0,0,0,0.0,0.0,0.0,0.0
333,2020-01-15,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
334,2020-01-15,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
335,2020-01-15,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
336,2020-01-15,gabon,0,0,0,0,0.0,0.0,0.0,0.0
337,2020-01-15,ghana,0,0,0,0,0.0,0.0,0.0,0.0
338,2020-01-15,kenya,0,0,0,0,0.0,0.0,0.0,0.0
339,2020-01-15,mali,0,0,0,0,0.0,0.0,0.0,0.0
340,2020-01-15,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
341,2020-01-15,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
342,2020-01-15,namibia,0,0,0,0,0.0,0.0,0.0,0.0
343,2020-01-15,niger,0,0,0,0,0.0,0.0,0.0,0.0
344,2020-01-15,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
345,2020-01-15,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
346,2020-01-15,senegal,0,0,0,0,0.0,0.0,0.0,0.0
347,2020-01-15,south africa,0,0,0,0,0.0,0.0,0.0,0.0
348,2020-01-15,togo,0,0,0,0,0.0,0.0,0.0,0.0
349,2020-01-15,uganda,0,0,0,0,0.0,0.0,0.0,0.0
350,2020-01-15,zambia,0,0,0,0,0.0,0.0,0.0,0.0
351,2020-01-15,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
352,2020-01-16,angola,0,0,0,0,0.0,0.0,0.0,0.0
353,2020-01-16,benin,0,0,0,0,0.0,0.0,0.0,0.0
354,2020-01-16,botswana,0,0,0,0,0.0,0.0,0.0,0.0
355,2020-01-16,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
356,2020-01-16,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
357,2020-01-16,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
358,2020-01-16,gabon,0,0,0,0,0.0,0.0,0.0,0.0
359,2020-01-16,ghana,0,0,0,0,0.0,0.0,0.0,0.0
360,2020-01-16,kenya,0,0,0,0,0.0,0.0,0.0,0.0
361,2020-01-16,mali,0,0,0,0,0.0,0.0,0.0,0.0
362,2020-01-16,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
363,2020-01-16,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
364,2020-01-16,namibia,0,0,0,0,0.0,0.0,0.0,0.0
365,2020-01-16,niger,0,0,0,0,0.0,0.0,0.0,0.0
366,2020-01-16,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
367,2020-01-16,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
368,2020-01-16,senegal,0,0,0,0,0.0,0.0,0.0,0.0
369,2020-01-16,south africa,0,0,0,0,0.0,0.0,0.0,0.0
370,2020-01-16,togo,0,0,0,0,0.0,0.0,0.0,0.0
371,2020-01-16,uganda,0,0,0,0,0.0,0.0,0.0,0.0
372,2020-01-16,zambia,0,0,0,0,0.0,0.0,0.0,0.0
373,2020-01-16,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
374,2020-01-17,angola,0,0,0,0,0.0,0.0,0.0,0.0
375,2020-01-17,benin,0,0,0,0,0.0,0.0,0.0,0.0
